,month,day,hour,weekday,avg_hrly_temp
1081,11,22,5,4,19.15
1083,11,22,6,4,19.275
1085,11,22,7,4,19.424999999999997
1087,11,22,8,4,19.55
1089,11,22,9,4,19.475
1091,11,22,10,4,19.6
1093,11,22,11,4,19.674999999999997
1095,11,22,12,4,19.700000000000003
1097,11,22,13,4,19.8
1099,11,22,14,4,19.9
1101,11,22,15,4,19.950000000000003
1103,11,22,16,4,19.95
1105,11,22,17,4,19.950000000000003
1107,11,22,18,4,19.950000000000003
1109,11,22,19,4,19.875
1111,11,22,20,4,19.825
1113,11,22,21,4,19.674999999999997
1115,11,22,22,4,19.65
1117,11,22,23,4,19.55
1119,11,23,0,5,19.425
1121,11,23,1,5,19.35
1123,11,23,2,5,19.4
1125,11,23,3,5,19.3
1127,11,23,4,5,19.25
1129,11,23,5,5,19.3
1131,11,23,6,5,19.275
1133,11,23,7,5,19.2
1135,11,23,8,5,19.075
1137,11,23,9,5,19.05
1139,11,23,10,5,19.075000000000003
1141,11,23,11,5,19.025
1143,11,23,12,5,19.075
1145,11,23,13,5,19.125
1147,11,23,14,5,19.175
1149,11,23,15,5,19.275
1151,11,23,16,5,19.275
1153,11,23,17,5,19.35
1155,11,23,18,5,19.4
1157,11,23,19,5,19.4
1159,11,23,20,5,19.425
1161,11,23,21,5,19.474999999999998
1163,11,23,22,5,19.5
1165,11,23,23,5,19.5
1167,11,24,0,6,19.55
1169,11,24,1,6,19.5
1171,11,24,2,6,19.549999999999997
1173,11,24,3,6,19.5
1175,11,24,4,6,19.474999999999998
1177,11,24,5,6,19.425
1179,11,24,6,6,19.400000000000002
1181,11,24,7,6,19.4
1183,11,24,8,6,19.45
1185,11,24,9,6,19.5
1187,11,24,10,6,19.549999999999997
1189,11,24,11,6,19.55
1191,11,24,12,6,19.55
1193,11,24,13,6,19.55
1195,11,24,14,6,19.55
1354,11,24,15,6,19.35
1356,11,24,16,6,19.3
1358,11,24,17,6,19.45
1360,11,24,18,6,19.7
1362,11,24,19,6,19.55
1364,11,24,20,6,19.45
1366,11,24,21,6,19.4
1368,11,24,22,6,19.35
1370,11,24,23,6,19.3
1372,11,25,0,0,19.35
1374,11,25,1,0,19.35
1376,11,25,2,0,19.25
1378,11,25,3,0,19.3
1380,11,25,4,0,19.3
1382,11,25,5,0,19.25
1384,11,25,6,0,19.3
1386,11,25,7,0,19.3
1388,11,25,8,0,19.5
1390,11,25,9,0,19.35
1392,11,25,10,0,19.4
1394,11,25,11,0,19.4
1395,11,26,13,1,22.0
1397,11,26,14,1,21.4
1399,11,26,15,1,21.35
1401,11,26,16,1,21.05
1403,11,26,17,1,20.9
1405,11,26,18,1,20.75
1407,11,26,19,1,20.65
1409,11,26,20,1,20.6
1411,11,26,21,1,20.55
1413,11,26,22,1,20.5
1415,11,26,23,1,20.35
